id,split_1,split_2,split_3,is_teenager,num_segments,views,clicks,ctr
0,A,B,A,0,15,62,3,0.04838709677419355
1,A,B,B,0,4,5,0,0.0
2,B,A,B,1,14,47,1,0.02127659574468085
3,B,A,B,1,2,3,0,0.0
4,B,A,B,0,11,50,0,0.0
5,A,B,B,0,13,56,2,0.03571428571428571
6,A,B,B,0,16,48,0,0.0
7,A,B,B,0,5,18,1,0.05555555555555555
8,A,B,B,0,11,53,1,0.018867924528301886
9,A,B,B,0,17,52,0,0.0
10,B,A,B,1,3,7,0,0.0
11,B,B,B,1,3,5,0,0.0
12,A,B,B,0,12,47,0,0.0
13,B,B,B,1,13,43,2,0.046511627906976744
14,A,A,B,0,7,21,1,0.047619047619047616
15,A,B,B,0,8,18,1,0.05555555555555555
16,A,B,A,0,6,46,0,0.0
17,B,B,B,1,11,60,1,0.016666666666666666
18,A,A,A,0,12,44,0,0.0
19,A,A,A,0,11,56,0,0.0
20,A,B,B,0,2,5,0,0.0
21,A,B,B,0,5,5,0,0.0
22,B,A,A,0,11,51,2,0.0392156862745098
23,B,A,B,0,8,40,0,0.0
24,B,A,A,1,12,51,0,0.0
25,B,A,A,1,3,7,0,0.0
26,B,A,B,1,10,49,1,0.02040816326530612
27,B,A,B,1,3,3,0,0.0
28,A,B,B,0,2,16,3,0.1875
29,B,A,A,1,11,42,0,0.0
30,A,A,B,0,8,40,0,0.0
31,A,B,A,0,15,56,0,0.0
32,B,B,B,1,2,5,0,0.0
33,B,A,A,1,3,4,0,0.0
34,A,A,A,0,12,64,2,0.03125
35,B,B,A,1,10,38,0,0.0
36,B,A,B,1,9,44,1,0.022727272727272728
37,A,A,A,0,5,22,1,0.045454545454545456
38,B,A,A,1,3,7,0,0.0
39,A,A,A,0,10,52,0,0.0
40,B,B,B,1,2,3,0,0.0
41,B,A,A,1,16,53,0,0.0
42,A,B,A,0,17,56,0,0.0
43,A,B,B,0,4,22,2,0.09090909090909091
44,B,B,B,0,16,57,0,0.0
45,A,B,B,0,11,50,2,0.04
46,A,B,A,0,14,55,0,0.0
47,B,A,A,1,5,5,0,0.0
48,A,B,B,0,6,24,3,0.125
49,B,B,B,1,3,2,0,0.0
50,A,A,A,0,17,56,2,0.03571428571428571
51,A,B,A,0,7,41,1,0.024390243902439025
52,B,B,A,1,4,6,0,0.0
53,A,B,A,0,14,59,0,0.0
54,A,B,B,0,7,14,0,0.0
55,A,B,A,0,17,48,0,0.0
56,A,A,B,0,7,27,1,0.037037037037037035
57,A,B,A,0,9,50,2,0.04
58,B,A,B,1,14,53,0,0.0
59,B,A,A,1,4,5,0,0.0
60,A,A,A,0,20,61,2,0.03278688524590164
61,B,A,B,1,5,5,0,0.0
62,B,B,A,1,4,5,0,0.0
63,B,B,A,1,4,7,0,0.0
64,A,A,B,0,9,26,4,0.15384615384615385
65,A,A,B,0,8,57,0,0.0
66,A,A,B,0,13,47,0,0.0
67,B,A,B,1,2,4,0,0.0
68,A,B,B,0,2,5,0,0.0
69,A,A,A,0,8,48,0,0.0
70,A,B,A,0,11,48,1,0.020833333333333332
71,B,A,A,1,3,4,0,0.0
72,B,A,B,1,2,2,0,0.0
73,A,B,A,0,14,56,0,0.0
74,B,A,B,1,3,4,0,0.0
75,B,B,B,1,7,7,0,0.0
76,B,B,A,0,16,54,1,0.018518518518518517
77,A,A,A,0,17,53,1,0.018867924528301886
78,B,A,A,0,12,47,0,0.0
79,B,A,A,1,9,34,1,0.029411764705882353
80,B,B,A,1,2,8,0,0.0
81,A,A,A,0,13,44,0,0.0
82,A,A,B,0,4,19,4,0.21052631578947367
83,B,B,B,1,8,45,0,0.0
84,A,B,B,0,11,49,0,0.0
85,B,A,B,1,11,61,0,0.0
86,A,B,A,0,11,56,1,0.017857142857142856
87,B,B,B,1,3,7,0,0.0
88,A,B,A,0,2,5,0,0.0
89,A,B,A,0,12,47,0,0.0
90,B,B,B,1,4,4,0,0.0
91,B,A,B,1,6,6,0,0.0
92,B,A,B,1,2,6,0,0.0
93,B,A,B,1,3,6,0,0.0
94,A,A,B,0,6,17,0,0.0
95,A,B,B,0,18,62,1,0.016129032258064516
96,A,B,B,0,7,27,2,0.07407407407407407
97,B,A,B,1,3,7,0,0.0
98,B,B,A,1,12,63,2,0.031746031746031744
99,B,B,B,1,9,48,0,0.0
100,B,A,A,1,2,2,0,0.0
101,B,A,B,1,2,6,0,0.0
102,A,B,A,0,10,49,1,0.02040816326530612
103,B,A,B,1,13,53,0,0.0
104,B,B,B,0,3,5,0,0.0
105,B,B,B,1,11,61,1,0.01639344262295082
106,A,B,B,0,8,22,2,0.09090909090909091
107,B,A,B,1,4,5,0,0.0
108,A,B,B,0,10,54,1,0.018518518518518517
109,A,A,A,0,8,50,1,0.02
110,A,A,B,0,2,5,0,0.0
111,B,B,A,1,5,48,2,0.041666666666666664
